@class: format(){
   Output_every: 1
//@PHREEQCOutput: chemistry1.inp

Output_every: 1
 The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                   	 Ca.tot                	 Si.tot                	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.12345000              	 3.14558000e-1           	 50.0000000              	 2.27387396e-2           	 12.4800294              	 4.43236380e-4           	 1.12300676              	 3.14557291e-1           	 7.08956864e-7           	 6.11325771e-1           	 1.68589645e-1           	 1.12043852e-1           	 1.26846834e-1           	 5.54593813e-3           	 5.11680993e-1           	 3.14557291e-1           	

}

@format()

Output_every: 1
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 T                       	 Ca.tot                  	 Si.tot                  	 waterbalance            	 watervolume             	 pH                      	 Ca.bulksolution         	 Ca.bulksolid            	 Si.bulksolid            	 Si.bulksolution         	 Portlandite[s].tot      	 CSHQ_JenD.tot.con       	 CSHQ_JenH.tot.con       	 CSHQ_TobD.tot.con       	 CSHQ_TobH.tot.con       	 Ca.bulkss               	 Si.bulkss               	
Data:	 2.98150000e2            	 1.26000000              	 3.92000000e-1           	 1.14000000e2            	 8.25958912e-2           	 12.4800294              	 1.61000585e-3           	 1.25838999              	 3.91997425e-1           	 2.57520535e-6           	 6.20739438e-1           	 2.10094341e-1           	 1.39627670e-1           	 1.58074964e-1           	 6.91127984e-3           	 6.37650556e-1           	 3.91997425e-1           	
Data:	 2.98150000e2            	 1.86000000e-1           	 2.55000000e-1           	 87.4000000              	 8.00039613e-2           	 10.8696857              	 7.25894364e-5           	 1.85927411e-1           	 2.54918247e-1           	 8.17530085e-5           	 0.0                     	 5.74694763e-5           	 6.84221965e-3           	 2.91903766e-2           	 2.28576488e-1           	 1.85927411e-1           	 2.54918247e-1           	
Data:	 2.98150000e2            	 1.57000000              	 3.53000000e-1           	 1.13000000e2            	 7.68924345e-2           	 12.4800294              	 1.49883084e-3           	 1.56850117              	 3.52997603e-1           	 2.39738086e-6           	 9.94290464e-1           	 1.89192056e-1           	 1.25736114e-1           	 1.42348086e-1           	 6.22367664e-3           	 5.74210705e-1           	 3.52997603e-1           	
Data:	 2.98150000e2            	 1.15000000              	 1.53000000e-1           	 1.19000000e2            	 9.49622668e-2           	 12.4800294              	 1.85105824e-3           	 1.14814894              	 1.52997039e-1           	 2.96076880e-6           	 8.99273207e-1           	 8.20000593e-2           	 5.44968378e-2           	 6.16968375e-2           	 2.69748036e-3           	 2.48875735e-1           	 1.52997039e-1           	
Data:	 2.98150000e2            	 1.33000000              	 2.76000000e-1           	 1.34000000e2            	 1.03966153e-1           	 12.4800294              	 2.02656708e-3           	 1.32797343              	 2.75996759e-1           	 3.24149530e-6           	 8.79017712e-1           	 1.47922801e-1           	 9.83087689e-2           	 1.11297103e-1           	 4.86608001e-3           	 4.48955721e-1           	 2.75996759e-1           	
Data:	 2.98150000e2            	 1.61000000              	 2.30000000e-1           	 73.9000000              	 3.98058049e-2           	 12.4800294              	 7.75917273e-4           	 1.60922408              	 2.29998759e-1           	 1.24108016e-6           	 1.23509194              	 1.23269783e-1           	 8.19244942e-2           	 9.27481743e-2           	 4.05509242e-3           	 3.74132143e-1           	 2.29998759e-1           	
Data:	 2.98150000e2            	 1.22000000              	 2.97000000e-1           	 1.15000000e2            	 8.64559990e-2           	 12.4800294              	 1.68524925e-3           	 1.21831475              	 2.96997304e-1           	 2.69555723e-6           	 7.35198066e-1           	 1.59178221e-1           	 1.05789066e-1           	 1.19765680e-1           	 5.23633920e-3           	 4.83116685e-1           	 2.96997304e-1           	
Data:	 2.98150000e2            	 5.12000000e-1           	 2.91000000e-1           	 1.31000000e2            	 1.15351447e-1           	 12.4800294              	 2.24849567e-3           	 5.09751504e-1           	 2.90996404e-1           	 3.59647022e-6           	 3.63963065e-2           	 1.55961988e-1           	 1.03651573e-1           	 1.17345786e-1           	 5.13053773e-3           	 4.73355198e-1           	 2.90996404e-1           	
Data:	 2.98150000e2            	 6.67000000e-1           	 3.75000000e-1           	 71.2000000              	 5.08144699e-2           	 12.4800294              	 9.90504400e-4           	 6.66009496e-1           	 3.74998416e-1           	 1.58431240e-6           	 5.60107221e-2           	 2.00983578e-1           	 1.33572701e-1           	 1.51220026e-1           	 6.61157147e-3           	 6.09998773e-1           	 3.74998416e-1           	
Data:	 2.98150000e2            	 1.89000000              	 1.58000000e-1           	 98.8000000              	 6.13093863e-2           	 12.4800294              	 1.19507725e-3           	 1.88880492              	 1.57998088e-1           	 1.91152680e-6           	 1.63179413              	 8.46804140e-2           	 5.62781884e-2           	 6.37135362e-2           	 2.78565351e-3           	 2.57010793e-1           	 1.57998088e-1           	
