Output_every: 10
// The column headers in this file can be edited and determine the output for the next run.
Var: 	 time_years              	 integrity               	
Data:	 1.77511416e-1           	 1.00000000              	
Data:	 1.78082192e-1           	 1.00000000              	
Data:	 1.78652968e-1           	 1.00000000              	
Data:	 1.79223744e-1           	 1.00000000              	
Data:	 1.79794521e-1           	 1.00000000              	
Data:	 1.80365297e-1           	 1.00000000              	
Data:	 1.80936073e-1           	 1.00000000              	
Data:	 1.81506849e-1           	 1.00000000              	
Data:	 1.82077626e-1           	 1.00000000              	
Data:	 1.82648402e-1           	 1.00000000              	
Data:	 1.83219178e-1           	 1.00000000              	
Data:	 1.83789954e-1           	 1.00000000              	
Data:	 1.84360731e-1           	 1.00000000              	
Data:	 1.84931507e-1           	 1.00000000              	
Data:	 1.85502283e-1           	 1.00000000              	
Data:	 1.86073059e-1           	 1.00000000              	
Data:	 1.86643836e-1           	 1.00000000              	
Data:	 1.87214612e-1           	 1.00000000              	
Data:	 1.87785388e-1           	 1.00000000              	
Data:	 1.88356164e-1           	 1.00000000              	
Data:	 1.88926941e-1           	 1.00000000              	
Data:	 1.89497717e-1           	 1.00000000              	
Data:	 1.90068493e-1           	 1.00000000              	
Data:	 1.90639269e-1           	 1.00000000              	
Data:	 1.91210046e-1           	 1.00000000              	
Data:	 1.91780822e-1           	 1.00000000              	
Data:	 1.92351598e-1           	 1.00000000              	
Data:	 1.92922374e-1           	 1.00000000              	
Data:	 1.93493151e-1           	 1.00000000              	
Data:	 1.94063927e-1           	 1.00000000              	
Data:	 1.94634703e-1           	 1.00000000              	
Data:	 1.95205479e-1           	 1.00000000              	
Data:	 1.95776256e-1           	 1.00000000              	
Data:	 1.96347032e-1           	 1.00000000              	
Data:	 1.96917808e-1           	 1.00000000              	
Data:	 1.97488584e-1           	 1.00000000              	
Data:	 1.98059361e-1           	 1.00000000              	
Data:	 1.98630137e-1           	 1.00000000              	
Data:	 1.99200913e-1           	 1.00000000              	
Data:	 1.99771689e-1           	 1.00000000              	
Data:	 2.00342466e-1           	 1.00000000              	
Data:	 2.00913242e-1           	 1.00000000              	
Data:	 2.01484018e-1           	 1.00000000              	
Data:	 2.02054795e-1           	 1.00000000              	
Data:	 2.02625571e-1           	 1.00000000              	
Data:	 2.03196347e-1           	 1.00000000              	
Data:	 2.03767123e-1           	 1.00000000              	
Data:	 2.04337900e-1           	 1.00000000              	
Data:	 2.04908676e-1           	 1.00000000              	
Data:	 2.05479452e-1           	 1.00000000              	
Data:	 2.06050228e-1           	 1.00000000              	
Data:	 2.06621005e-1           	 1.00000000              	
Data:	 2.07191781e-1           	 1.00000000              	
Data:	 2.07762557e-1           	 1.00000000              	
Data:	 2.08333333e-1           	 1.00000000              	
Data:	 2.08904110e-1           	 1.00000000              	
Data:	 2.09474886e-1           	 1.00000000              	
Data:	 2.10045662e-1           	 1.00000000              	
Data:	 2.10616438e-1           	 1.00000000              	
Data:	 2.11187215e-1           	 1.00000000              	
Data:	 2.11757991e-1           	 1.00000000              	
Data:	 2.12328767e-1           	 1.00000000              	
Data:	 2.12899543e-1           	 1.00000000              	
Data:	 2.13470320e-1           	 1.00000000              	
Data:	 2.14041096e-1           	 1.00000000              	
Data:	 2.14611872e-1           	 1.00000000              	
Data:	 2.15182648e-1           	 1.00000000              	
Data:	 2.15753425e-1           	 1.00000000              	
Data:	 2.16324201e-1           	 1.00000000              	
Data:	 2.16894977e-1           	 1.00000000              	
Data:	 2.17465753e-1           	 1.00000000              	
Data:	 2.18036530e-1           	 1.00000000              	
Data:	 2.18607306e-1           	 1.00000000              	
Data:	 2.19178082e-1           	 1.00000000              	
Data:	 2.19748858e-1           	 1.00000000              	
Data:	 2.20319635e-1           	 1.00000000              	
Data:	 2.20890411e-1           	 1.00000000              	
Data:	 2.21461187e-1           	 1.00000000              	
Data:	 2.22031963e-1           	 1.00000000              	
Data:	 2.22602740e-1           	 1.00000000              	
Data:	 2.23173516e-1           	 1.00000000              	
Data:	 2.23744292e-1           	 1.00000000              	
Data:	 2.24315068e-1           	 1.00000000              	
Data:	 2.24885845e-1           	 1.00000000              	
Data:	 2.25456621e-1           	 1.00000000              	
Data:	 2.26027397e-1           	 1.00000000              	
Data:	 2.26598174e-1           	 1.00000000              	
Data:	 2.27168950e-1           	 1.00000000              	
Data:	 2.27739726e-1           	 1.00000000              	
Data:	 2.28310502e-1           	 1.00000000              	
Data:	 2.28881279e-1           	 1.00000000              	
Data:	 2.29452055e-1           	 1.00000000              	
Data:	 2.30022831e-1           	 1.00000000              	
Data:	 2.30593607e-1           	 1.00000000              	
Data:	 2.31164384e-1           	 1.00000000              	
Data:	 2.31735160e-1           	 1.00000000              	
Data:	 2.32305936e-1           	 1.00000000              	
Data:	 2.32876712e-1           	 1.00000000              	
Data:	 2.33447489e-1           	 1.00000000              	
Data:	 2.34018265e-1           	 1.00000000              	
Data:	 2.34589041e-1           	 1.00000000              	
Data:	 2.35159817e-1           	 1.00000000              	
Data:	 2.35730594e-1           	 1.00000000              	
Data:	 2.36301370e-1           	 1.00000000              	
Data:	 2.36872146e-1           	 1.00000000              	
Data:	 2.37442922e-1           	 1.00000000              	
Data:	 2.38013699e-1           	 1.00000000              	
Data:	 2.38584475e-1           	 1.00000000              	
Data:	 2.39155251e-1           	 1.00000000              	
Data:	 2.39726027e-1           	 1.00000000              	
Data:	 2.40296804e-1           	 1.00000000              	
Data:	 2.40867580e-1           	 1.00000000              	
Data:	 2.41438356e-1           	 1.00000000              	
Data:	 2.42009132e-1           	 1.00000000              	
Data:	 2.42579909e-1           	 1.00000000              	
Data:	 2.43150685e-1           	 1.00000000              	
Data:	 2.43721461e-1           	 1.00000000              	
Data:	 2.44292237e-1           	 1.00000000              	
Data:	 2.44863014e-1           	 1.00000000              	
Data:	 2.45433790e-1           	 1.00000000              	
Data:	 2.46004566e-1           	 1.00000000              	
Data:	 2.46575342e-1           	 1.00000000              	
Data:	 2.47146119e-1           	 1.00000000              	
Data:	 2.47716895e-1           	 1.00000000              	
Data:	 2.48287671e-1           	 1.00000000              	
Data:	 2.48858447e-1           	 1.00000000              	
Data:	 2.49429224e-1           	 1.00000000              	
Data:	 2.50000000e-1           	 1.00000000              	
Data:	 2.50570776e-1           	 1.00000000              	
Data:	 2.51141553e-1           	 1.00000000              	
Data:	 2.51712329e-1           	 1.00000000              	
Data:	 2.52283105e-1           	 1.00000000              	
Data:	 2.52853881e-1           	 1.00000000              	
Data:	 2.53424658e-1           	 1.00000000              	
Data:	 2.53995434e-1           	 1.00000000              	
Data:	 2.54566210e-1           	 1.00000000              	
Data:	 2.55136986e-1           	 1.00000000              	
Data:	 2.55707763e-1           	 1.00000000              	
Data:	 2.56278539e-1           	 1.00000000              	
